TIME,URL,POST,COOKIE,USER_AGENT,MESSAGE
"22:50:31","http://127.0.0.1/project/Chameleon/","","PHPSESSID=tucv5lmmtb2llu49tu94q34op1&_ga=GA1.1.230428381.1463201880&CCD_SESSION=20160607tV1X4IMU","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36","visited"
"22:56:32","http://127.0.0.1/project/Chameleon/","","PHPSESSID=tucv5lmmtb2llu49tu94q34op1&_ga=GA1.1.230428381.1463201880&CCD_SESSION=20160607tV1X4IMU","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36","visited"
"22:57:29","http://127.0.0.1/project/Chameleon/doc","","PHPSESSID=tucv5lmmtb2llu49tu94q34op1&_ga=GA1.1.230428381.1463201880&CCD_SESSION=20160607tV1X4IMU","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36","require(): Failed opening required '/Applications/XAMPP/xamppfiles/htdocs/project/Chameleon/ctr/doc/.php' (include_path='.:/Applications/XAMPP/xamppfiles/lib/php') in /Applications/XAMPP/xamppfiles/htdocs/project/Chameleon/sys/uri.php on line 30"
